id;titre_fr;titre_en;titre_ger;titre_sw;sous_titre_fr;sous_titre_en;sous_titre_ger;sous_titre_sw;text_paragraphe_1_fr;text_paragraphe_1_en;text_paragraphe_1_ger;text_paragraphe_1_sw;text_paragraphe_2_fr;text_paragraphe_2_en;text_paragraphe_2_ger;text_paragraphe_2_sw;text_paragraphe_3_fr;text_paragraphe_3_en;text_paragraphe_3_ger;text_paragraphe_3_sw;text_paragraphe_4_fr;text_paragraphe_4_en;text_paragraphe_4_ger;text_paragraphe_4_sw;text_paragraphe_5_fr;text_paragraphe_5_en;text_paragraphe_5_ger;text_paragraphe_5_sw;image;image_content_type
1;dedicated violet Buckinghamshire;invoice Rupiah Dynamic;Principal Investment Account;recontextualize;solutions;Iran;Future Guam Ghana;bypass;Tunisia human-resource emulation;quantify;Planner withdrawal China;Cambridgeshire National Berkshire;JBOD Group;multi-state;uniform Granite;Ergonomic;unleash;technologies;multimedia Operations;navigate Plain Handcrafted Steel Sausages;withdrawal RAM;Automotive;Profit-focused;directional;salmon Tuna;Gorgeous Wooden Bacon;Isle Soft;invoice Avon Course;../fake-data/blob/hipster.png;image/png
2;deposit Secured;Savings Account;Savings Account models withdrawal;Home Loan Account Peso Uruguayo Uruguay Peso en Unidades Indexadas communities;compressing modular;Principal;Cambridgeshire aggregate;Shirt National;Automotive Industrial;Plains Virginia Central;yellow Public-key;Health Team-oriented Bedfordshire;Michigan Rhode Island Kenya;reintermediate;Object-based;Clothing;compressing infomediaries users;Dale Philippine Peso redundant;invoice TCP;Frozen HDD;compressing yellow primary;innovate Personal Loan Account;New Jersey;Borders;Rwanda calculating deposit;SQL;non-volatile;Berkshire cross-platform;../fake-data/blob/hipster.png;image/png
3;Architect Credit Card Account AI;District transform Home;bandwidth Bahraini Dinar Applications;Cambridgeshire;Stand-alone Networked SMS;copying Garden virtual;Markets Analyst demand-driven;Accounts Operative;index;generating;synthesize;Mobility Producer;extend;pricing structure;deposit ivory unleash;end-to-end Steel Berkshire;Soft SSL heuristic;maximize payment;Legacy calculate EXE;overriding;Electronics white;De-engineered Computer supply-chains;Product Incredible Plastic Bacon alarm;Dam Mauritius;hacking web-readiness;CSS invoice transmitting;Kyrgyz Republic Madagascar;Secured Indiana Fresh;../fake-data/blob/hipster.png;image/png
4;HTTP copying;Slovenia Internal;Belize Dollar Infrastructure;COM didactic Minnesota;green policy;Tennessee;synthesizing Security;Credit Card Account bypassing cross-platform;matrix Investment Account;PCI Senior;sticky Producer Solomon Islands Dollar;Central;enable Incredible;infrastructures quantify Lead;monetize cross-platform;global;Outdoors neural-net;Unbranded Granite Pizza out-of-the-box Forward;Uzbekistan Jamaican Dollar;synthesize;Cotton hard drive;PNG firewall;driver Small Steel Keyboard;Credit Card Account Integrated;XML envisioneer Auto Loan Account;Rustic Concrete Chicken Facilitator Handcrafted Plastic Salad;Mission GB Unbranded Wooden Fish;methodologies GB;../fake-data/blob/hipster.png;image/png
5;solution disintermediate;Business-focused Money Market Account;Kenyan Shilling;Incredible Concrete Bacon intranet interfaces;Gloves;Up-sized orchid Intelligent Concrete Cheese;Pakistan Colorado visionary;portals Grocery parse;Shirt THX Regional;Salad context-sensitive;Factors reboot;Group local Fresh;Borders Infrastructure;optical executive;Creative Creative;parse Gloves;payment Intranet;Personal Loan Account;content-based FTP New Hampshire;tan;generating Gorgeous Rubber Fish;Tokelau embrace;impactful evolve Personal Loan Account;Outdoors Kuwait moderator;Aruba matrix Table;Markets parse Savings Account;Gorgeous Plastic Cheese Generic Cotton Chicken;Baby;../fake-data/blob/hipster.png;image/png
6;Bacon;parallelism Wooden secured line;Berkshire circuit Stream;Albania;invoice Operative;indexing Executive;Refined input;Congolese Franc;RSS override Fords;Berkshire;Guarani Customer-focused deliverables;Ergonomic Cotton Pants payment;Automotive;Bedfordshire;Borders;Avon;SDD Team-oriented;synthesize Quetzal;Borders sticky;Djibouti bluetooth;Jewelery Guyana redundant;Group Reverse-engineered navigate;Generic local Ergonomic;blue;Sleek Concrete Shoes;invoice Handmade Computer;Silver;Rustic Fresh Computer Industrial driver;../fake-data/blob/hipster.png;image/png
7;magenta;European Monetary Unit (E.M.U.-6) Tasty Steel Chips Shoes;Malta Home Loan Account niches;web-readiness local;disintermediate;Reactive Movies;benchmark purple Organized;Poland;productize dot-com;Toys;24/365 purple;strategic Money Market Account leading-edge;Solutions;Tools calculating Handcrafted Plastic Table;Outdoors AI;bypass;Home Books;HTTP payment experiences;Licensed pink Team-oriented;blue;Libyan Arab Jamahiriya;Tunnel Gorgeous Metal Gloves;revolutionize lavender;Pizza Practical EXE;Steel optimal;Frozen Camp;Manors compress;SCSI Indiana;../fake-data/blob/hipster.png;image/png
8;Bedfordshire;Personal Loan Account Guatemala generating;technologies virtual;supply-chains Licensed Plastic Gloves Specialist;Engineer navigating;SAS;Licensed;deliverables;Configuration initiatives RAM;parse;RAM transparent;Grocery envisioneer;Optimization;Graphic Interface Missouri bifurcated;Rustic Metal Cheese Manager Greens;Synergized Tasty Wooden Hat;generate SSL;Lake Research executive;Rubber;Cambridgeshire;Pakistan Rupee responsive Soft;Program back-end Personal Loan Account;deliverables;Buckinghamshire;Pants Bedfordshire;directional;Central B2B;Dam Virginia;../fake-data/blob/hipster.png;image/png
9;parse;Technician Accounts;Panama;action-items Fresh Practical;redundant Electronics wireless;input Administrator;Marketing parse;Computer Oman;Books Ball;Fantastic Soft Car Baby;Pre-emptive teal;Vermont Granite;seamless synthesize Senior;Pants vertical;Tasty Soft Mouse;Marketing grow;eyeballs relationships;interface New Hampshire back-end;Savings Account;Cambridgeshire;Practical Plastic Bike wireless;Licensed Granite Towels tertiary Organized;incentivize B2C;hub;circuit local Tala;transmitting Fantastic;Borders plum;Lesotho copy;../fake-data/blob/hipster.png;image/png
10;leverage optical;SCSI calculating Bacon;Direct complexity;JSON plug-and-play;Streamlined;Ergonomic Intranet;driver Bedfordshire quantifying;moratorium Strategist;Chair bandwidth Investor;Officer;Ball;Kansas Games;port innovate Pants;Officer;Licensed Wooden Computer Practical Guyana Dollar;Investor index Centralized;Global;Path;Licensed Fresh Salad;action-items;Toys;world-class Streamlined;e-enable;Planner;Fish;program Handmade violet;North Dakota Senior quantifying;ROI Avon vertical;../fake-data/blob/hipster.png;image/png
