id;titre_fr;titre_en;titre_ger;titre_sw;sous_titre_fr;sous_titre_en;sous_titre_ger;sous_titre_sw;text_paragraphe_1_fr;text_paragraphe_1_en;text_paragraphe_1_ger;text_paragraphe_1_sw;text_paragraphe_2_fr;text_paragraphe_2_en;text_paragraphe_2_ger;text_paragraphe_2_sw;text_paragraphe_3_fr;text_paragraphe_3_en;text_paragraphe_3_ger;text_paragraphe_3_sw;text_paragraphe_4_fr;text_paragraphe_4_en;text_paragraphe_4_ger;text_paragraphe_4_sw;text_paragraphe_5_fr;text_paragraphe_5_en;text_paragraphe_5_ger;text_paragraphe_5_sw;text_paragraphe_6_fr;text_paragraphe_6_en;text_paragraphe_6_ger;text_paragraphe_6_sw;text_paragraphe_7_fr;text_paragraphe_7_en;text_paragraphe_7_ger;text_paragraphe_7_sw;text_paragraphe_8_fr;text_paragraphe_8_en;text_paragraphe_8_ger;text_paragraphe_8_sw;image;image_content_type
1;process improvement;Assurance Ports Plastic;JSON Bike;USB back-end Fantastic Granite Salad;Rustic mission-critical approach;Tuna;quantifying Assurance;extensible bluetooth Sausages;facilitate;Diverse Cambridgeshire;real-time;Course Generic Steel Towels Germany;Forward;mobile New Caledonia;embrace vortals relationships;Rubber Pants Markets;Chief Knoll;synthesizing;moderator;payment;hard drive;initiatives Hawaii Malta;orange content-based Producer;Dynamic transform Steel;withdrawal Square Gorgeous;Data Supervisor yellow;indexing Assistant;Devolved New Israeli Sheqel Security;portal Rustic Rubber Chips Codes specifically reserved for testing purposes;Florida Applications Wyoming;Sleek Bacon strategic;Indonesia;distributed;Oval;Ergonomic Fresh Sausages Savings Account;reinvent Steel;copy View;Coordinator back-end;Mauritania;Research Cloned;../fake-data/blob/hipster.png;image/png
2;Louisiana system-worthy e-tailers;intangible Soft;Louisiana web-enabled Right-sized;Awesome;virtual;Buckinghamshire Lead;Bermudian Dollar (customarily known as Bermuda Dollar);panel parsing;Spur transmitting reintermediate;Realigned;moratorium Agent Incredible;supply-chains Small Soft Gloves;Kwanza structure;bluetooth;Executive;deposit Sudan program;deposit Ergonomic;Granite Supervisor Texas;intermediate;Analyst mission-critical;XML;Incredible Metal Chair hack;Branding;parsing strategy;Dynamic Multi-lateral;Home zero tolerance Maryland;Iceland Krona holistic;Malagasy Ariary enable;blue Open-architected;experiences fuchsia Cotton;Buckinghamshire Advanced;payment;e-services Ergonomic Soft Soap Unbranded;harness;East Caribbean Dollar;Customer;transmitting Gateway;Borders Illinois;Computer sky blue Aruba;interfaces;../fake-data/blob/hipster.png;image/png
3;connecting contingency Keys;Optional;withdrawal;framework;Steel;navigate;Fantastic Checking Account Security;Accounts Virginia;deposit;Ball Networked Officer;explicit FTP;Gorgeous New Jersey Bedfordshire;aggregate Iran;protocol Grocery;purple Fresh technologies;Algeria users;Libyan Dinar explicit compress;magnetic Bedfordshire;Zambia value-added;invoice superstructure Architect;Handcrafted Frozen Sausages Wooden supply-chains;Towels withdrawal;Industrial Avon clicks-and-mortar;Strategist;auxiliary generate payment;Ergonomic;parse bluetooth;bandwidth-monitored infrastructures;Interactions reboot;Multi-tiered maximized;unleash data-warehouse;superstructure engineer;analyzing;synthesize;Industrial Row;Refined Alley white;Steel Avon;Granite Virgin Islands, British;bypassing Gorgeous Intranet;Ergonomic Cotton Fish innovate;../fake-data/blob/hipster.png;image/png
4;connecting;yellow Money Market Account;compress Texas;neural Organized Cambridgeshire;communities lavender protocol;plum Intelligent;Hong Kong Regional;Key;Music Money Market Account;maroon;platforms;Hawaii generating;Investment Account;firewall calculate;Berkshire Avon;Virginia Music SMS;Wooden intranet;Credit Card Account human-resource Communications;Money Market Account transmitting Cambridgeshire;TCP;Virgin Islands, U.S. feed;Towels Car Stream;Bedfordshire;Mississippi;override microchip Creative;alarm;generating withdrawal;deposit Public-key;Money Market Account Marketing;modular synthesizing;microchip;deposit;framework upward-trending Intelligent Soft Table;Small;Refined;Missouri alarm;Home Loan Account Corporate Investor;Salad Rustic Beauty;Fantastic Plastic Shoes deposit Rwanda Franc;back-end SMTP;../fake-data/blob/hipster.png;image/png
5;platforms envisioneer TCP;empowering ROI aggregate;firmware;backing up Handcrafted Soft Bacon empower;facilitate hacking;Savings Account;Liaison Forks;Steel Frozen Sri Lanka Rupee;web-readiness invoice Buckinghamshire;incentivize;Money Market Account;protocol Handcrafted e-markets;Tactics Pizza;Berkshire Silver;internet solution neural;Bedfordshire e-services Program;context-sensitive web-enabled;Architect 1080p;SCSI backing up;Face to face Gloves;Awesome;Incredible Cotton Soap payment Optimization;Metal green Paradigm;asymmetric Handcrafted quantify;Tunnel redefine;Health International application;Monaco hacking;Jamaica;web-enabled;HTTP Borders Agent;override;Industrial;Avon RSS Product;IB Checking Account Vista;Reduced Cross-platform maroon;GB Garden;Jewelery Ergonomic;application;Illinois Health success;Handmade payment Sports;../fake-data/blob/hipster.png;image/png
6;Avon white;directional Accountability;analyzer Central;Dynamic interactive;Kids violet;upward-trending Reverse-engineered;intuitive;Steel;Licensed Plastic Hat Bedfordshire infomediaries;withdrawal Aruban Guilder;Turkish Lira Bacon;Practical Fresh Pants Enterprise-wide leading edge;Cheese Soft Books;primary;Corporate Developer;Illinois;Texas;CFA Franc BEAC mobile West Virginia;core;Central;index;Rubber El Salvador Colon US Dollar Jewelery;New Jersey B2B Metal;dynamic;bypassing;Handmade Granite Fish incentivize;Central Auto Loan Account Fantastic Steel Chips;yellow Sleek capacitor;Mouse generate;Maine;Shoes Public-key hacking;mint green;Face to face;Center Robust European Unit of Account 9(E.U.A.-9);Unbranded Granite Keyboard world-class deliver;parse;Beauty content Division;virtual;Turkmenistan Music Plastic;Fresh;../fake-data/blob/hipster.png;image/png
7;cross-platform;Fantastic Wooden Mouse invoice;Berkshire Sausages;Coordinator Automotive;methodologies;channels PNG;Awesome Fresh Pizza Cambridgeshire Fantastic Plastic Soap;engineer Engineer;6th generation Games;matrix database;Electronics;hack responsive visualize;Automotive revolutionize schemas;niches Shirt;Computer;Customer;Focused Investment Account Gorgeous Concrete Sausages;multi-byte;overriding Assurance Concrete;black;virtual;Fantastic Cotton Ball Rwanda Franc;SMTP;Somalia New Israeli Sheqel moderator;harness Kyrgyz Republic bypass;sensor Sausages;input;withdrawal;Tuna program;model integrated Frozen;back up evolve Designer;Roads Consultant open-source;Brand;optical Kansas;Illinois;Junctions installation;Sausages 3rd generation;Faroe Islands Distributed alarm;program intuitive haptic;Coordinator global Saint Lucia;../fake-data/blob/hipster.png;image/png
8;methodologies payment;Dynamic Peso Uruguayo Uruguay Peso en Unidades Indexadas;Awesome;Savings Account contextually-based Cambridgeshire;overriding payment;New Mexico;compress override;Pants Designer Belarus;pixel Toys Division;Clothing ADP Group;matrix distributed;Analyst;Table Auto Loan Account;Generic Fresh Shoes;HDD South Carolina;salmon Markets;microchip bandwidth;Baby Costa Rican Colon;Causeway Forges Mobility;Handmade knowledge base;firmware THX mobile;reboot plum;User-centric e-commerce array;Administrator;deposit index;system;Games;aggregate Kuwaiti Dinar;extensible Baby initiatives;redundant;Valley;deposit;SMS;Rustic Cotton Salad whiteboard artificial intelligence;Corporate Usability navigating;overriding Distributed;Internal;Colorado Organized;Gorgeous Granite Cheese;users Credit Card Account;../fake-data/blob/hipster.png;image/png
9;override;Awesome Plastic Table channels Clothing;zero defect;capability;Delaware West Virginia Shoals;streamline monetize;Music;Steel Intelligent Metal Pants Timor-Leste;wireless;neural orchestrate Faroe Islands;Ameliorated HDD;Fish;grey;Soft Denar;structure;Practical Unbranded;Small Soft Ball static compress;monetize Intelligent deposit;6th generation;Persistent;benchmark time-frame;Auto Loan Account Tasty port;Table;bluetooth Money Market Account;violet;cutting-edge Specialist;iterate program IB;azure architect deposit;incremental niches;reintermediate Pizza;human-resource;Buckinghamshire;Tools firewall;FTP asynchronous;open-source;Usability Manager Walks;Tanzania SAS;Table;applications parse revolutionary;Ouguiya;../fake-data/blob/hipster.png;image/png
10;Interactions enable Web;Home Loan Account Concrete;Bedfordshire Iowa;Berkshire Bacon Illinois;National Handmade Concrete Fish transmit;Operations Hat;Wooden;firewall monitor eyeballs;Generic Concrete Table;transition;experiences;silver Serbia Curve;Baby Home Loan Account Sleek;Cambridgeshire networks;harness payment AI;PNG;azure markets South Carolina;Mauritius Rupee microchip;vortals navigating;web-readiness;deposit;Belize Dollar Manager;Shore Keyboard Industrial;methodical Dynamic Architect;paradigms sexy Gorgeous;Som calculating Refined;Grocery Avon;navigating;Human JSON Beauty;mindshare;reboot;navigate Bedfordshire;Dobra Chips open-source;alarm Intranet synthesize;Azerbaijanian Manat open-source even-keeled;disintermediate;Jewelery web-readiness Key;New Zealand Dollar generating;microchip Oklahoma Configuration;responsive;../fake-data/blob/hipster.png;image/png
