id;titre_en;titre_ger;titre_fr;titre_sw;sous_titre_en;sous_titre_ger;sous_titre_fr;sous_titre_sw;logo;logo_content_type;texte_bouton;twitterlink;discord_link
1;haptic dynamic transmit;Won Avon website;matrix Strategist bluetooth;Credit Card Account Engineer Falls;Roads Bedfordshire;Granite;bus incentivize;Awesome Steel Hat;../fake-data/blob/hipster.png;image/png;Bedfordshire sensor Florida;Gloves Implementation AI;Borders
2;West Virginia;Automotive;copy bus;Steel Checking Account;transmitting;Games United Kingdom COM;infomediaries parse;Directives Intranet gold;../fake-data/blob/hipster.png;image/png;metrics;program Road;Cheese Tactics
3;Shoes override;white transmitting;Customizable;Persistent Operations;program;Bedfordshire Refined;Borders;Triple-buffered;../fake-data/blob/hipster.png;image/png;Netherlands Islands Shoal;static violet;online Money Market Account Bike
4;parse;revolutionary Coves neural;Bedfordshire Sausages Bedfordshire;knowledge base;Dynamic Palladium haptic;Dynamic;Pizza Throughway;Strategist Manor Pants;../fake-data/blob/hipster.png;image/png;Implemented quantify;Car purple;product Ohio markets
5;PCI Soap 1080p;Ohio;plug-and-play Automotive overriding;copying next-generation Health;Digitized;metrics;Buckinghamshire Distributed;capability Savings Account;../fake-data/blob/hipster.png;image/png;Checking Account Leone;projection bleeding-edge partnerships;Creative International Fresh
6;Shoes withdrawal;back-end Human;Usability Tasty architectures;Accounts;payment hacking;Cambridgeshire SCSI;core convergence mobile;withdrawal Cuba;../fake-data/blob/hipster.png;image/png;turquoise Dynamic envisioneer;Tasty Wooden Towels withdrawal;Buckinghamshire Salad aggregate
7;context-sensitive Senior synthesizing;Kids;Croatian Kuna Tactics;Plastic Home Loan Account matrix;Bedfordshire intangible;Towels Refined Metal Shoes;Lane gold;connecting SAS program;../fake-data/blob/hipster.png;image/png;streamline portal;Future Virginia;web-enabled SQL
8;Manager;Investment Account Maryland;Customer;Panama Key scalable;Bermuda firmware transmitting;withdrawal;strategic;PNG Keys Credit Card Account;../fake-data/blob/hipster.png;image/png;Ameliorated;dedicated Quetzal;Liaison Internal
9;Multi-channelled Data bluetooth;circuit redundant New Jersey;digital Accountability brand;integrated Small Metal Car bypassing;explicit;application;Strategist Applications protocol;Awesome Wooden Keyboard paradigms Louisiana;../fake-data/blob/hipster.png;image/png;Points;Austria;purple
10;alarm;bluetooth;Corner gold;Communications;Handmade firewall;Versatile sensor Checking Account;port;ability Concrete;../fake-data/blob/hipster.png;image/png;Illinois Towels Practical Wooden Car;user-centric;Liaison feed
