id;titre_imprint_en;titre_imprint_fr;titre_imprint_ger;titre_imprint_sw;contenu_imprint_en;contenu_imprint_ger;contenu_imprint_fr;contenu_imprint_sw
1;pricing structure generate Handmade;PCI;Manager PNG;application AGP Director;utilize driver XSS;Handmade Lead bricks-and-clicks;Progressive Fish Grocery;Oklahoma budgetary management Concrete
2;XSS connect synergies;compelling;Dalasi Yemeni Rial French Polynesia;bleeding-edge port Nebraska;Open-architected real-time;capacitor Center;Books Planner;Bedfordshire Gibraltar
3;alarm hard drive;Mexico;Paradigm HDD;panel customer loyalty Digitized;quantify online;Metal Berkshire project;Central Directives;standardization SMTP infrastructures
4;Guadeloupe Assimilated yellow;District;Branding Uzbekistan Sum;customized;Cambridgeshire matrix;Specialist Officer;hacking;Computers encoding Future
5;monitor salmon Buckinghamshire;Personal Loan Account;synthesize compress;Strategist Public-key;Virtual Falkland Islands Pound;Investment Account Bedfordshire;Berkshire;microchip
6;violet Intranet Sleek Concrete Bike;JSON parsing array;unleash Accountability;Refined Uganda Shilling;dynamic;actuating;alarm Kids bypass;engineer networks users
7;Colombian Peso Unidad de Valor Real Algeria Visionary;connect Berkshire azure;Barbados Dollar;Heard Island and McDonald Islands;Diverse Iceland Krona software;Ergonomic Planner Mississippi;invoice;Bolivia connect
8;auxiliary Cambridgeshire withdrawal;Sleek Mobility;compress;Branding Sleek auxiliary;24/365 Belgium;harness Rubber Open-architected;composite index;Automotive multi-byte Baht
9;superstructure;bandwidth;maroon open-source;Avon Clothing;Credit Card Account radical dot-com;Books Towels RAM;payment;Unbranded Concrete Bacon virtual
10;deposit reciprocal;National Cambridgeshire;portals;Soft Berkshire Ghana;Savings Account;Savings Account;secured line Customer deposit;overriding
