id;titre_fr;titre_en;titre_ger;titre_sw;sous_titre_fr;sous_titre_en;sous_titre_ger;sous_titre_sw;text_paragraphe_1_fr;text_paragraphe_1_en;text_paragraphe_1_ger;text_paragraphe_1_sw;text_paragraphe_2_fr;text_paragraphe_2_en;text_paragraphe_2_ger;text_paragraphe_2_sw;text_paragraphe_3_fr;text_paragraphe_3_en;text_paragraphe_3_ger;text_paragraphe_3_sw;text_paragraphe_4_fr;text_paragraphe_4_en;text_paragraphe_4_ger;text_paragraphe_4_sw;text_paragraphe_5_fr;text_paragraphe_5_en;text_paragraphe_5_ger;text_paragraphe_5_sw;image;image_content_type
1;SDD Ball optical;Checking Account;Global invoice port;primary Metal Islands;Administrator;generate 6th generation;Metal Customer;Colorado e-commerce Rustic;mint green multi-byte North Carolina;Investor matrix Optional;Identity white bifurcated;infrastructures;SMS;Cambridgeshire SDD XML;Table Assistant;bricks-and-clicks wireless Chief;withdrawal salmon Web;withdrawal withdrawal USB;Nevada seamless;Jewelery Hat;interface Iran proactive;solid state Vermont Car;International;copy Refined Croatia;viral Savings Account;compressing;XSS gold mesh;Wyoming;../fake-data/blob/hipster.png;image/png
2;Consultant Corporate;District Table next-generation;silver Group Credit Card Account;invoice Home Loan Account;hack;Fresh brand Roads;schemas Fresh;Licensed Steel Gloves Auto Loan Account;digital Investor;navigating Kip Vietnam;Intranet payment;open-source Court Investor;Awesome Cotton Pizza Lilangeni Pass;Cotton Finland;e-commerce firewall intuitive;protocol Small;Colombia California;Investment Account teal;product intuitive;Nakfa;quantifying;magenta;Auto Loan Account;Pants;Checking Account Gorgeous;Burg copying Tasty Concrete Tuna;Handcrafted Frozen Tuna;Wooden;../fake-data/blob/hipster.png;image/png
3;Cliff invoice;Director;Chair sensor Fantastic;violet Movies;Auto Loan Account;Forward infrastructure;Licensed Face to face;harness Salad Innovative;auxiliary compressing;Bedfordshire;Somoni;supply-chains global Intelligent Wooden Chicken;Cambridgeshire;cyan;Nevada Tasty channels;cohesive;Soft program;withdrawal New Leu;SSL Metal payment;Mews Auto Loan Account Specialist;Mews;SQL Washington;deposit Tools;Concrete Luxembourg Wooden;Intranet;Bedfordshire Object-based;Practical Plastic Soap;Ball;../fake-data/blob/hipster.png;image/png
4;bypassing Central Cote d'Ivoire;Representative;bluetooth;US Dollar bypass;Cotton alarm;bypass JBOD payment;SAS withdrawal;platforms backing up;Front-line TCP Identity;Bacon backing up implementation;Incredible;Money Market Account Auto Loan Account e-business;3rd generation withdrawal hack;Summit;copy;Heights;Sleek Fresh Chicken;program Guyana tan;Brand;sensor strategize;networks Auto Loan Account;Tasty Steel Towels bypassing SMS;mesh;Handmade;Soft maroon Investor;Bedfordshire Frozen;Soap;Intelligent Micronesia;../fake-data/blob/hipster.png;image/png
5;Awesome;Avon standardization;Home Loan Account;Home Loan Account Streamlined;Ergonomic navigating;microchip;Pataca withdrawal;support Auto Loan Account;Shoes Licensed;Burg;maximize Designer deposit;Lights Movies Small Fresh Tuna;gold;digital;Incredible Concrete Computer Architect;Sleek Frozen Ball hacking;extend;Guyana Dollar;online granular;Administrator;calculating invoice;Legacy Books;Texas Pizza;Refined Cotton Ball integrated Specialist;International Lights;deploy 24/7;National;Assistant Buckinghamshire virtual;../fake-data/blob/hipster.png;image/png
6;Shoes Chicken copying;Chips orchestrate;Summit;Bedfordshire IB;input SMS Cheese;Dynamic productize;Place;Ethiopia Human;Creek Ergonomic grow;collaborative indexing Ergonomic;interactive fuchsia;leverage transition reinvent;Money Market Account Facilitator;Towels Table;compress Sleek Concrete Bike Somoni;stable Synergistic Creek;Cross-group;Customer neural success;Communications compressing;Intranet transparent;Beauty parse internet solution;withdrawal;Accounts methodologies Plastic;Fantastic fresh-thinking;RSS;withdrawal Hryvnia infrastructures;parse Global;Automotive;../fake-data/blob/hipster.png;image/png
7;Avon Cloned content;Handmade Concrete Salad redundant IB;Rustic;markets withdrawal;redundant Refined;Frozen calculate;Incredible Swiss Franc;Points Table;Virtual impactful infrastructures;Baby Chair Inverse;Multi-layered pink;cyan Central solution;Refined;New Mexico;IB hard drive;Small;unleash Buckinghamshire;Virginia Shoes;synthesizing;solid state;Isle of Man Lead;CSS;Soap;mobile;Senior EXE;withdrawal;Rustic Wooden Chips;Gateway aggregate grey;../fake-data/blob/hipster.png;image/png
8;Awesome Producer Directives;program;Architect Small Steel Ball;digital;product;Toys Personal Loan Account Phased;Alaska Practical;object-oriented Walk;Ergonomic Borders;invoice functionalities Unbranded Metal Computer;Home Loan Account executive productivity;GB neural;RSS deliver;THX Valley;quantify Fresh Valleys;Oregon;solutions;De-engineered Maryland Alabama;CSS mesh;Home;RSS;Pre-emptive Arizona Home Loan Account;Licensed Concrete Shoes User-centric Wooden;Alabama;application e-enable;complexity productize Applications;Savings Account Music;Digitized online Rubber;../fake-data/blob/hipster.png;image/png
9;Web Granite action-items;Open-architected;Somalia Practical Frozen Bike;Bacon;Plastic Personal Loan Account;Buckinghamshire;Central user-facing;invoice Michigan payment;connect Refined Cotton Chips Multi-layered;withdrawal;RSS capacitor;Plaza;Solomon Islands Dollar dot-com Architect;European Unit of Account 9(E.U.A.-9) Central matrix;Producer Sleek;Associate User-centric;Checking Account Personal Loan Account hack;Wells Investment Account Garden;Unbranded invoice parallelism;Steel synthesize;Plastic Circles;Belgium Liaison niches;Borders;morph;Salad Division;Table Agent;Fresh payment Guatemala;Ghana Dynamic salmon;../fake-data/blob/hipster.png;image/png
10;silver Incredible Concrete Shoes;Fantastic Metal Ball Movies Utah;Games New Jersey Norwegian Krone;pricing structure Plastic;connect;Investment Account Belize Borders;invoice;Optimization invoice Managed;Avon;Assimilated;Creative Borders;Cross-group;Jewelery AGP alliance;Kuwaiti Dinar Rustic Plastic Hat Computers;copying compressing;bluetooth Shoes;Indian Rupee CFA Franc BEAC Georgia;Streamlined Intelligent Rubber Shirt Spain;scale Central;Practical Frozen Keyboard;Christmas Island Rubber;Vermont parse;invoice haptic;Balanced;calculate frictionless;Research Parks;Internal cyan;Personal Loan Account;../fake-data/blob/hipster.png;image/png
